ID,airport_name,type,country,lat,long,elevation,service
HUAR,Arua Airport,medium_airport,UG,3.049152,30.911714,3951.0,yes
HUBU,Bundibugyo Airport,small_airport,UG,0.67349,30.025483,3100.0,no
HUEN,Entebbe International Airport,large_airport,UG,0.042386,32.443501,3782.0,yes
HUFP,Fort Portal Airport,small_airport,UG,0.7063,30.2493,5255.0,no
HUGG,Bugungu Airport,small_airport,UG,2.202788,31.554341,2472.0,no
HUGU,Gulu Airport,medium_airport,UG,2.805560111999512,32.27180099487305,3510.0,yes
HUJI,Jinja Airport,small_airport,UG,0.453094,33.19356,3855.0,no
HUKB,Kabale Airport,small_airport,UG,-1.226111,29.96,6000.0,no
HUKD,Kidepo Airport,small_airport,UG,3.7176,33.7487,4033.0,no
HUKJ,Kajjansi Airfield,small_airport,UG,0.1968,32.55297,3743.0,no
HUKK,Kakira Airport,small_airport,UG,0.4933,33.281,3962.0,no
HUKO,Kotido Airport,small_airport,UG,2.953,34.1232,4020.0,no
HUKS,Kasese Airport,small_airport,UG,0.183,30.1,3146.0,no
HUKT,Kitgum Airport,small_airport,UG,3.2817,32.8882,3130.0,no
HULI,Lira Airport,small_airport,UG,2.25,32.9169998169,3580.0,no
HUMA,Mbarara Airport,small_airport,UG,-0.555278,30.5994,4600.0,no
HUMI,Masindi Airport,small_airport,UG,1.75806,31.7367,3850.0,no
HUMO,Moroto Airport,small_airport,UG,2.5051,34.5946,4170.0,no
HUMW,Mweya Airport,small_airport,UG,-0.194,29.8941,3160.0,no
KBH,Kahama Airstrip,small_airport,TZ,-3.847,32.6865,,no
KE-0001,Mfangano Airport,small_airport,KE,-0.463046,34.062473,3750.0,no
KE-0005,Mara Shikar Airport,small_airport,KE,-1.069278,35.050777,5500.0,no
KE-0006,Camp Simba Airfield,small_airport,KE,-2.169513,40.896414,,no
KE-0007,Chepgoiben Airstrip,small_airport,KE,-0.392801,35.33093,6955.0,no
KE-0014,Kabarak Airstrip,small_airport,KE,-0.189141,35.962871,6368.0,no
KE-0015,Lake Baringo (Kampi Ya Samaki) Airport,small_airport,KE,0.603167,36.013,3000.0,no
KE-0018,Kapedo Airport,small_airport,KE,1.173284,36.090608,2500.0,no
KE-0020,Congrieve Airfield,small_airport,KE,-0.481119,36.123218,5800.0,no
KE-0023,Kongoni Airport,small_airport,KE,-0.863153,36.228068,6600.0,no
KE-0024,Delamare Camp Airport,small_airport,KE,-0.399523,36.234254,5800.0,no
KE-0027,Loldia Airport,small_airport,KE,-0.694161,36.316681,1970.0,no
KE-0028,Manyatta Airport,small_airport,KE,-0.494715,36.352908,6400.0,no
KE-0030,Kigio (Malewa) Airport,small_airport,KE,-0.587807,36.406775,6734.0,no
KE-0032,Mugie Ranch Airport,small_airport,KE,0.714812,36.586594,6150.0,no
KE-0035,Ilbisil Airstrip,small_airport,KE,-2.120226,36.815678,5000.0,no
KE-0041,Laburra Airport,small_airport,KE,-0.298471,36.947185,6030.0,no
KE-0042,Hall Hall Airport,small_airport,KE,0.933333,37.066666,6000.0,no
KE-0043,Hall Strip Airport,closed,KE,2.930361,37.067528,6000.0,no
KE-0044,Kamwaki Farm Airport,small_airport,KE,0.132423,37.159395,6530.0,no
KE-0045,Ibis Farm Airport,small_airport,KE,0.0429,37.20151,7000.0,no
KE-0052,Lewa Airstrip,small_airport,KE,0.195157,37.470289,5600.0,no
KE-0053,Mbirikani Airport,small_airport,KE,-2.56229,37.543027,3900.0,no
KE-0054,Hurri Hills Airport,small_airport,KE,3.341831,37.720792,4300.0,no
